Month,Salinity(PSU)
Jan-11,34.92815882
Feb-11,34.67298511
Mar-11,34.58868443
Apr-11,34.70213444
May-11,34.92318096
Jun-11,35.20315097
Jul-11,35.50950121
Aug-11,35.77414967
Sep-11,35.95722517
Oct-11,36.00551007
Nov-11,35.82658348
Dec-11,35.4994343
Jan-12,34.94973128
Feb-12,34.67289474
Mar-12,34.63572967
Apr-12,34.69952744
May-12,34.8922497
Jun-12,35.19617752
Jul-12,35.53558979
Aug-12,35.8149345
Sep-12,35.95207663
Oct-12,35.96860111
Nov-12,35.83001065
Dec-12,35.52310556
Jan-13,34.88389875
Feb-13,34.67051538
Mar-13,34.61944609
Apr-13,34.69947943
May-13,34.9020071
Jun-13,35.19830036
Jul-13,35.52666689
Aug-13,35.80072344
Sep-13,35.95296951
Oct-13,35.98047792
Nov-13,35.82863861
Dec-13,35.51453089
Jan-14,34.90522045
Feb-14,34.67120332
Mar-14,34.60326389
Apr-14,34.69985457
May-14,34.91182887
Jun-14,35.20013325
Jul-14,35.51747321
Aug-14,35.78662922
Sep-14,35.95419216
Oct-14,35.99229115
Nov-14,35.82700102
Dec-14,35.50614308
Jan-15,34.92667615
Feb-15,34.67150244
Mar-15,34.58720176
Apr-15,34.70065177
May-15,34.92169829
Jun-15,35.2016683
Jul-15,35.50801854
Aug-15,35.772667
Sep-15,35.9557425
Oct-15,36.0040274
Nov-15,35.82510081
Dec-15,35.49795163
